id,skills,interests,education,experience_level,certifications,career
702,Linux Python Wireshark,Ethical Hacking,BSc Computer Science,Beginner,CEH,Cybersecurity Analyst
703,Process Mapping Confluence Excel Power BI GraphQL,Business Analysis Data,BSc Computer Science,Intermediate,CBAP,Business Analyst
704,LLMs PyTorch FastAPI Generative AI,AI Natural Language Processing,BTech IT,Intermediate,Google Cloud ML,NLP Engineer
705,NumPy PyTorch FastAPI Feature Engineering,Deep Learning Machine Learning,BE AI,Beginner,Azure ML AWS SA,ML Engineer
706,Java FastAPI Microservices Express.js RDS,APIs Backend Systems,BCA,Intermediate,Azure Fundamentals,Backend Developer
707,Python Incident Response Metasploit Linux,Ethical Hacking Cybersecurity,MCA,Intermediate,CompTIA Security+ CompTIA CySA+,Cybersecurity Analyst
708,Rust NFT MetaMask DeFi,DeFi Cryptography,MCA,Beginner,Certified Blockchain Expert,Blockchain Developer
709,Jest Figma GraphQL REST API,UI Design,BCA,Intermediate,AWS CCP Azure Fundamentals,Frontend Developer
710,Information Architecture Canva Sketch InVision Matplotlib,Design,BTech IT,Intermediate,HCI Certificate,UI/UX Designer
711,iOS Kotlin App Store,Android Mobile Development,BCA,Advanced,Flutter Certified,Mobile App Developer
712,REST API Firebase App Store iOS,UX Android,BTech IT,Intermediate,AWS CCP Apple iOS Developer,Mobile App Developer
713,HuggingFace Vector Databases TensorFlow RAG,AI Products Generative AI,BTech IT,Beginner,Azure AI,AI Engineer
714,Unreal Engine Physics Engine Python,Simulation Game Development,Diploma CS,Beginner,AWS GameTech,Game Developer
715,Next.js CSS Redux GraphQL,User Experience Web Performance,BCA,Beginner,Meta Frontend JavaScript Algorithms,Frontend Developer
716,Multiplayer Networking 3D Modeling Blender Lua,3D Design,BTech CSE,Beginner,Google Play Academy C++ Institute,Game Developer
717,Agile Process Mapping Power BI Data Analysis,Enterprise Systems,BCA,Advanced,PMI-PBA ITIL,Business Analyst
718,MongoDB Next.js TypeScript REST API,Web Apps Full Stack Development,BCA,Advanced,Meta Full Stack,Full Stack Developer
719,Jest REST API Webpack JavaScript,UI Design Web Development,Diploma CS,Beginner,AWS CCP,Frontend Developer
720,Stakeholder Management Scrum Figma,Business,MCA,Beginner,Scrum Master,Product Manager
721,Smart Contracts JavaScript Python Rust Generative AI,DeFi,BTech IT,Advanced,Solidity Developer,Blockchain Developer
722,GitHub Actions Linux CI/CD,Cloud Infrastructure,BTech IT,Beginner,Terraform Associate,DevOps Engineer
723,Ansible Observability Docker,Reliability Engineering Cloud Operations,BTech CSE,Beginner,Terraform Associate Google Cloud SRE,Site Reliability Engineer
724,FastAPI AWS SageMaker PyTorch Feature Engineering,AI Systems,BTech IT,Beginner,Google Cloud ML,ML Engineer
725,AWS SLIs/SLOs Observability,Automation,BTech IT,Beginner,RedHat RHCSA,Site Reliability Engineer
726,PyTorch Scikit-learn Kubeflow TensorFlow,Model Deployment,BTech CSE,Advanced,Google Cloud ML,ML Engineer
727,Pandas PostgreSQL Google Analytics ETL GitHub Actions,Visualization Insights,MCA,Beginner,Tableau Desktop IBM Data Analyst,Data Analyst
728,Chainlink JavaScript Truffle,Web3 Decentralization,BSc Computer Science,Intermediate,Web3 Developer Certified Blockchain Expert,Blockchain Developer
729,Pandas TensorFlow Model Deployment Docker,Deep Learning,BTech CSE,Intermediate,TensorFlow Developer,ML Engineer
730,TensorFlow Jupyter Scikit-learn Statistics,AI Research,MCA,Intermediate,Google Cloud Associate,Data Scientist
731,CNNs ONNX PyTorch,Deep Learning,MSc Data Science,Beginner,PyTorch Certified AWS CCP,Computer Vision Engineer
732,DeFi Ethereum Rust Truffle,Blockchain,BCA,Advanced,Solidity Developer,Blockchain Developer
733,Tailwind CSS Webpack REST API GraphQL,UI Design Web Performance,Diploma CS,Intermediate,Meta Frontend,Frontend Developer
734,React Native REST API Swift Dart,iOS Mobile Development,MCA,Beginner,AWS CCP Apple iOS Developer,Mobile App Developer
735,Statistics SQL Google Analytics,Data Analytics Insights,MCA,Advanced,Power BI Associate IBM Data Analyst,Data Analyst
736,Scikit-learn Pandas Seaborn PyTorch,Statistics,BE AI,Intermediate,Google Cloud Associate,Data Scientist
737,GitHub Actions Jenkins Kubernetes,DevOps,BE AI,Beginner,AWS SA,DevOps Engineer
738,CI/CD Docker Python,Software Development Problem Solving,MCA,Beginner,Google Cloud Associate RedHat RHCSA,Software Engineer
739,HTML Angular Redux Next.js,UI Design User Experience,BTech CSE,Advanced,JavaScript Algorithms,Frontend Developer
740,Docker PostgreSQL TypeScript AWS,Full Stack Development,MCA,Advanced,MongoDB Associate,Full Stack Developer
741,OpenAI API RAG LLMs,Conversational AI,BTech CSE,Advanced,HuggingFace Certified,AI Engineer
742,Prototyping HTML Adobe XD User Research,Human-Computer Interaction Visual Design,BSc Computer Science,Beginner,Adobe XD Certified,UI/UX Designer
743,SQL Product Analytics Figma Stakeholder Management,Agile Product Strategy,BTech IT,Advanced,AWS CCP PMP,Product Manager
744,Penetration Testing Splunk Network Security Python,Cybersecurity Privacy,MCA,Intermediate,CEH CompTIA CySA+,Cybersecurity Analyst
745,Data Structures C++ SQL Docker,Software Development Engineering,BTech CSE,Beginner,RedHat RHCSA Oracle Java,Software Engineer
746,CUDA YOLO Keras ONNX Excel,Computer Vision AI Research,BTech CSE,Beginner,TensorFlow Developer,Computer Vision Engineer
747,Agile Requirements Gathering Power BI,Process Improvement Strategy,BCA,Beginner,ITIL PMI-PBA,Business Analyst
748,Unit Testing Algorithms Design Patterns REST API Ansible,Software Development,BE AI,Intermediate,Oracle Java CompTIA A+,Software Engineer
749,GitHub Actions Docker ArgoCD Ansible,DevOps,MCA,Intermediate,RedHat RHCSA,DevOps Engineer
750,Chainlink Ethereum Web3.js,Cryptography Blockchain,BTech IT,Intermediate,Ethereum Developer,Blockchain Developer
751,Angular Webpack JavaScript CSS,Web Development,BCA,Intermediate,Meta Frontend JavaScript Algorithms,Frontend Developer
752,Truffle Hardhat NFT Solidity,DeFi Cryptography,BCA,Advanced,Hyperledger,Blockchain Developer
753,Generative AI BERT NER Transformers,Natural Language Processing Linguistics,MCA,Intermediate,TensorFlow Developer,NLP Engineer
754,Unreal Engine OpenGL Lua 3D Modeling ETL,Interactive Media,Diploma CS,Intermediate,Google Play Academy AWS GameTech,Game Developer
755,Prometheus Ansible Docker Linux,Cloud Operations,Diploma CS,Intermediate,AWS SA,Site Reliability Engineer
756,IDS/IPS SIEM Python OWASP,Threat Intelligence Ethical Hacking,Diploma CS,Beginner,CEH Cisco CCNA,Cybersecurity Analyst
757,Data Visualization Python SQL R Information Architecture,Visualization,BTech CSE,Beginner,Tableau Desktop Power BI Associate,Data Analyst
758,Notion Confluence Stakeholder Management Market Research,User Research,BTech IT,Intermediate,CSPO,Product Manager
759,Grafana Docker Chaos Engineering Bash Multiplayer Networking,Cloud Operations Reliability Engineering,MSc Data Science,Advanced,Kubernetes CKA Terraform Associate,Site Reliability Engineer
760,Node.js FastAPI Kafka MySQL,APIs Distributed Systems,BCA,Intermediate,Azure Fundamentals,Backend Developer
761,Xcode REST API SQLite Swift,Mobile Development iOS,BCA,Advanced,Flutter Certified AWS CCP,Mobile App Developer
762,Usability Testing Canva HTML,Design User Experience,BTech CSE,Beginner,Adobe XD Certified Figma Expert,UI/UX Designer
763,Process Mapping Use Cases SQL Stakeholder Management Excel,Business Analysis,BCA,Intermediate,Scrum Master,Business Analyst
764,LLMs PyTorch Python,AI Research,MCA,Beginner,AWS CCP,AI Engineer
765,Generative AI LLMs Python FastAPI,Generative AI,BTech IT,Beginner,AWS CCP,AI Engineer
766,Confluence Stakeholder Management Product Analytics,User Research,BTech IT,Beginner,AWS CCP Google PM Certificate,Product Manager
767,Pandas TensorFlow Docker,AI Systems,MCA,Beginner,Azure ML,ML Engineer
768,Wireframing InVision Adobe XD Design Systems,Human-Computer Interaction Visual Design,BCA,Intermediate,Interaction Design Adobe XD Certified,UI/UX Designer
769,IPFS Rust Solidity Chainlink Unreal Engine,Decentralization,MCA,Beginner,Web3 Developer Certified Blockchain Expert,Blockchain Developer
770,NumPy Feature Engineering Model Deployment Scikit-learn Ansible,Deep Learning Machine Learning,MSc Data Science,Intermediate,Azure ML AWS SageMaker,ML Engineer
771,PyTorch HuggingFace NER TensorFlow Canva,Conversational AI Linguistics,BTech IT,Advanced,HuggingFace Certified AWS CCP,NLP Engineer
772,SLIs/SLOs Grafana Ansible Chaos Engineering,Reliability Engineering,BTech IT,Beginner,AWS SA,Site Reliability Engineer
773,Webpack Redux TypeScript CSS,UI Design,BE AI,Intermediate,AWS CCP,Frontend Developer
774,TensorFlow Python Kafka Model Deployment,Deep Learning Machine Learning,Diploma CS,Beginner,Azure ML AWS SageMaker,ML Engineer
775,Angular Vue.js CSS REST API,User Experience JavaScript Ecosystem,BTech IT,Intermediate,AWS CCP,Frontend Developer
776,Prometheus Python GitHub Actions,DevOps,MCA,Advanced,Kubernetes CKA,DevOps Engineer
777,Docker RDS CDN Security AWS,Infrastructure DevOps,BSc Computer Science,Intermediate,AWS SA AWS CCP,Cloud Engineer
778,Java CI/CD Git,Software Development System Design,MSc Data Science,Intermediate,Google Cloud Associate AWS CCP,Software Engineer
779,NumPy TensorFlow Pandas Seaborn,Statistics Analytics,BTech CSE,Advanced,Google Cloud Associate TensorFlow Developer,Data Scientist
780,Roadmapping A/B Testing Notion Agile,Tech Leadership,Diploma CS,Advanced,Scrum Master,Product Manager
781,Helm CI/CD ArgoCD,DevOps CI/CD,BSc Computer Science,Beginner,RedHat RHCSA Kubernetes CKA,DevOps Engineer
782,Python SQL R Google Analytics,Visualization Insights,MSc Data Science,Beginner,Google Data Analytics,Data Analyst
783,Tableau SQL Seaborn Jupyter,Analytics,BE AI,Intermediate,Azure Fundamentals,Data Scientist
784,Stakeholder Management JIRA Scrum,User Research Agile,BTech CSE,Beginner,PMP,Product Manager
785,Kotlin Firebase Android Studio,iOS,BTech IT,Beginner,Flutter Certified,Mobile App Developer
786,Node.js Kafka Microservices PostgreSQL Kubeflow,Microservices,BTech CSE,Advanced,Oracle Java,Backend Developer
787,Physics Engine Python AI Pathfinding HLSL,Interactive Media Simulation,MSc Data Science,Advanced,Google Play Academy,Game Developer
788,Terraform IAM Networking,Infrastructure,BSc Computer Science,Intermediate,Google Cloud Associate,Cloud Engineer
789,Microservices Docker Data Structures Algorithms,Open Source,BCA,Beginner,RedHat RHCSA,Software Engineer
790,Object Detection OpenCV Python,Deep Learning Robotics,BTech CSE,Beginner,PyTorch Certified Google Cloud ML,Computer Vision Engineer
791,Observability Terraform Ansible,DevOps,Diploma CS,Advanced,Google Cloud SRE,Site Reliability Engineer
792,Unity Game Design 3D Modeling HLSL Google Play,Game Development,BSc Computer Science,Intermediate,Unity Certified Google Play Academy,Game Developer
793,Pillow NumPy YOLO Keras,AI Research Deep Learning,MCA,Intermediate,NVIDIA Deep Learning,Computer Vision Engineer
794,Terraform Helm Prometheus,Platform Engineering,BSc Computer Science,Intermediate,Google Cloud DevOps,DevOps Engineer
795,Power BI Looker ETL,Reporting,BCA,Intermediate,AWS CCP,Data Analyst
796,FastAPI Python Transformers LLMs,AI Research LLMs,BTech IT,Beginner,Azure AI Google Cloud Associate,AI Engineer
797,Product Analytics JIRA User Stories Notion,Agile Tech Leadership,BTech IT,Advanced,Scrum Master,Product Manager
798,Microservices Redis MongoDB Kafka PyTorch,Microservices,BTech CSE,Advanced,Azure Fundamentals Oracle Java,Backend Developer
799,AI Pathfinding Multiplayer Networking HLSL,Interactive Media,BSc Computer Science,Intermediate,Google Play Academy,Game Developer
800,Figma A/B Testing Market Research,User Research Agile,MSc Data Science,Intermediate,Google PM Certificate CSPO,Product Manager
801,spaCy Text Classification Python Transformers,AI,BTech CSE,Beginner,AWS CCP,NLP Engineer
802,Python JavaScript DeFi IPFS,Cryptography,BTech CSE,Advanced,Web3 Developer,Blockchain Developer
803,Cryptography Ethereum MetaMask Smart Contracts,Decentralization,BSc Computer Science,Advanced,Certified Blockchain Expert Solidity Developer,Blockchain Developer
804,Statistics SQL PyTorch Power BI YOLO,Statistics,BTech CSE,Advanced,Azure Fundamentals,Data Scientist
805,LLMs PyTorch NLTK HuggingFace,AI,BTech IT,Beginner,Google Cloud ML HuggingFace Certified,NLP Engineer
806,GraphQL MySQL Redis PostgreSQL,Microservices,BCA,Intermediate,Oracle Java Spring Professional,Backend Developer
807,Linux SIEM Firewall Python,Privacy,BTech CSE,Intermediate,CompTIA CySA+ Cisco CCNA,Cybersecurity Analyst
808,Transformers Generative AI Python,Natural Language Processing,BTech IT,Intermediate,AWS CCP HuggingFace Certified,NLP Engineer
809,Keras TensorFlow Pillow,Deep Learning Computer Vision,BTech CSE,Beginner,Google Cloud ML PyTorch Certified,Computer Vision Engineer
810,Pillow MediaPipe Image Segmentation YOLO,Image Processing,BTech IT,Beginner,PyTorch Certified,Computer Vision Engineer
811,Use Cases BPMN Stakeholder Management Process Mapping,Process Improvement Data,BTech IT,Beginner,ITIL Scrum Master,Business Analyst
812,Shader Programming Game Design Multiplayer Networking Blender Ansible,3D Design Interactive Media,BCA,Beginner,AWS GameTech,Game Developer
813,SLIs/SLOs Ansible Grafana Python,DevOps Reliability Engineering,Diploma CS,Intermediate,Kubernetes CKA,Site Reliability Engineer
814,3D Modeling Unreal Engine C++ Lua Firewall,Game Development,BSc Computer Science,Beginner,Google Play Academy,Game Developer
815,LLMs LangChain Generative AI,Natural Language Processing AI,BTech IT,Intermediate,DeepLearning.AI NLP HuggingFace Certified,NLP Engineer
816,Requirements Gathering Excel Business Process,Strategy Enterprise Systems,MCA,Intermediate,Scrum Master,Business Analyst
817,LLMs OpenAI API LangChain PyTorch,AI Products Conversational AI,BTech IT,Advanced,Google Cloud Associate,AI Engineer
818,Solidity Rust Ethereum JavaScript,Decentralization,BTech CSE,Advanced,Hyperledger,Blockchain Developer
819,Data Structures Unit Testing CI/CD Algorithms Databricks,Engineering,BSc Computer Science,Intermediate,Oracle Java,Software Engineer
820,Pandas Seaborn Spark Tableau,Statistics,BSc Computer Science,Advanced,AWS CCP,Data Scientist
821,Firebase Xcode Dart Kotlin Firewall,UX iOS,MCA,Intermediate,Flutter Certified Firebase,Mobile App Developer
822,REST API Docker PostgreSQL Node.js,APIs,BCA,Intermediate,Azure Fundamentals,Full Stack Developer
823,Market Research Scrum A/B Testing OKRs HLSL,Business,BSc Computer Science,Advanced,Scrum Master PMP,Product Manager
824,Canva Information Architecture Accessibility,Human-Computer Interaction Product Design,Diploma CS,Intermediate,Figma Expert Google UX Design,UI/UX Designer
825,NumPy MediaPipe Python YOLO Terraform,Image Processing AI Research,BTech CSE,Advanced,NVIDIA Deep Learning TensorFlow Developer,Computer Vision Engineer
826,AWS Lambda Linux Azure,Scalability Cloud Computing,BE AI,Beginner,AWS CCP Google Cloud Associate,Cloud Engineer
827,RDS Networking Linux IAM,DevOps Infrastructure,BTech IT,Advanced,AWS SA,Cloud Engineer
828,NumPy TensorFlow Model Deployment Docker Tableau,AI Systems,BTech CSE,Beginner,TensorFlow Developer,ML Engineer
829,Looker Statistics ETL Databricks,Data Analytics Insights,MCA,Beginner,IBM Data Analyst,Data Analyst
830,PyTorch OpenCV Pillow CUDA,AI Research,Diploma CS,Intermediate,AWS CCP,Computer Vision Engineer
831,Requirements Gathering Use Cases Agile Stakeholder Management GitHub Actions,Strategy Business Analysis,BTech CSE,Advanced,ITIL Scrum Master,Business Analyst
832,Docker CI/CD Data Structures,Engineering Open Source,BTech IT,Intermediate,CompTIA A+,Software Engineer
833,Image Segmentation Detectron2 TensorFlow Object Detection,AI Research Computer Vision,MSc Data Science,Beginner,TensorFlow Developer,Computer Vision Engineer
834,Tableau Databricks R Data Visualization,Business Intelligence,MCA,Advanced,Google Data Analytics,Data Analyst
835,REST API Express.js Docker Python,Backend Systems,BSc Computer Science,Advanced,Oracle Java Azure Fundamentals,Backend Developer
836,Transformers Vector Databases FastAPI LLMs,LLMs AI Products,MCA,Advanced,TensorFlow Developer,AI Engineer
837,Pandas Scikit-learn NumPy Python,Data Science,BTech CSE,Beginner,Azure Fundamentals AWS CCP,Data Scientist
838,Shader Programming Physics Engine C# Python,Game Development Interactive Media,BCA,Advanced,Google Play Academy C++ Institute,Game Developer
839,Kubeflow Pandas Spark PyTorch,Deep Learning AI Systems,Diploma CS,Advanced,Azure ML AWS SA,ML Engineer
840,OKRs Data Analysis JIRA Notion Google Play,User Research,BTech IT,Intermediate,PMP,Product Manager
841,Roadmapping Data Analysis OKRs Scrum,Product Strategy Tech Leadership,MSc Data Science,Beginner,CSPO,Product Manager
842,OpenAI API PyTorch RAG Python,AI Products Conversational AI,MSc Data Science,Intermediate,Google Cloud Associate AWS CCP,AI Engineer
843,CI/CD Docker Prometheus Kubernetes Next.js,DevOps,BE AI,Intermediate,RedHat RHCSA Terraform Associate,Site Reliability Engineer
844,BERT LLMs HuggingFace Text Classification,Linguistics,BTech CSE,Intermediate,TensorFlow Developer,NLP Engineer
845,IDS/IPS Python Nmap,Threat Intelligence,MCA,Advanced,CISSP CompTIA CySA+,Cybersecurity Analyst
846,iOS SQLite React Native Dart,Android,BE AI,Advanced,Flutter Certified AWS CCP,Mobile App Developer
847,Linux Metasploit IDS/IPS Nmap,Network Security,Diploma CS,Advanced,CompTIA Security+ CompTIA CySA+,Cybersecurity Analyst
848,Swift Android Studio Flutter Kotlin,UX iOS,BCA,Intermediate,AWS CCP,Mobile App Developer
849,Shader Programming Unity Game Design,3D Design Simulation,BCA,Intermediate,Google Play Academy,Game Developer
850,CSS AWS Docker GraphQL,Web Apps Cloud,BTech IT,Beginner,AWS CCP Oracle Java,Full Stack Developer
851,Swift App Store Google Play React Native,Mobile Development,BTech CSE,Intermediate,Firebase,Mobile App Developer
852,CUDA Pillow Python CNNs Prometheus,AI Research,Diploma CS,Advanced,Google Cloud ML,Computer Vision Engineer
853,Lua Multiplayer Networking Unity Unreal Engine,Interactive Media,Diploma CS,Beginner,Google Play Academy Unreal Engine Cert,Game Developer
854,Next.js MongoDB Redis,APIs Startups,BCA,Advanced,Meta Full Stack,Full Stack Developer
855,OpenCV ONNX MediaPipe,Deep Learning,BTech CSE,Beginner,NVIDIA Deep Learning,Computer Vision Engineer
856,Docker Node.js AWS Express.js,Web Apps,BCA,Advanced,Oracle Java MongoDB Associate,Full Stack Developer
857,OpenAI API Transformers Generative AI LLMs,AI Products Conversational AI,MCA,Intermediate,Google Cloud Associate HuggingFace Certified,AI Engineer
858,InVision Information Architecture Sketch Figma,Product Design,Diploma CS,Intermediate,Adobe XD Certified Figma Expert,UI/UX Designer
859,Data Analysis BPMN Business Process,Data,BTech IT,Beginner,Tableau Desktop,Business Analyst
860,SIEM Python OWASP Incident Response,Threat Intelligence Privacy,BTech CSE,Intermediate,CISSP,Cybersecurity Analyst
861,Agile JIRA SQL Product Analytics,Product Strategy Agile,MSc Data Science,Beginner,AWS CCP Scrum Master,Product Manager
862,Stakeholder Management Visio Agile BPMN,Strategy Process Improvement,BTech IT,Advanced,ITIL Tableau Desktop,Business Analyst
863,GraphQL CSS REST API,User Experience JavaScript Ecosystem,BE AI,Advanced,Google UX Design,Frontend Developer
864,Python Terraform CI/CD Grafana,Automation,BTech CSE,Beginner,RedHat RHCSA Kubernetes CKA,DevOps Engineer
865,Web3.js NFT Solidity Cryptography,Web3,BTech CSE,Beginner,Hyperledger,Blockchain Developer
866,Android Studio Kotlin Swift Xcode,Cross-platform Apps,BTech CSE,Intermediate,Apple iOS Developer Flutter Certified,Mobile App Developer
867,Jest Redux Figma,UI Design JavaScript Ecosystem,BCA,Intermediate,Meta Frontend Azure Fundamentals,Frontend Developer
868,NumPy TensorFlow Kubeflow,Deep Learning,MSc Data Science,Intermediate,Google Cloud ML TensorFlow Developer,ML Engineer
869,HTML Next.js Node.js Redis,Cloud,BTech IT,Intermediate,AWS CCP MongoDB Associate,Full Stack Developer
870,SIEM Metasploit OWASP Wireshark,Privacy Cybersecurity,MCA,Beginner,Cisco CCNA,Cybersecurity Analyst
871,ArgoCD GitHub Actions Linux Python,CI/CD,BTech CSE,Beginner,RedHat RHCSA Terraform Associate,DevOps Engineer
872,Python Git Unit Testing Linux,Software Development Open Source,BTech CSE,Advanced,CompTIA A+ Google Cloud Associate,Software Engineer
873,Pillow CNNs Keras,Robotics,MCA,Advanced,NVIDIA Deep Learning,Computer Vision Engineer
874,Data Structures Docker REST API Design Patterns YOLO,Software Development Engineering,BTech CSE,Intermediate,Google Cloud Associate AWS CCP,Software Engineer
875,Webpack TypeScript JavaScript Tailwind CSS,Web Development JavaScript Ecosystem,BCA,Intermediate,Azure Fundamentals,Frontend Developer
876,Spark Python Pandas TensorFlow,Deep Learning,MCA,Beginner,AWS SA,ML Engineer
877,Physics Engine Blender OpenGL HLSL Webpack,Simulation,BTech CSE,Beginner,C++ Institute Unity Certified,Game Developer
878,Shader Programming Python Unreal Engine HLSL Express.js,3D Design Game Development,BCA,Advanced,AWS GameTech,Game Developer
879,Chaos Engineering Docker SLIs/SLOs Prometheus,Reliability Engineering,Diploma CS,Beginner,Google Cloud SRE Kubernetes CKA,Site Reliability Engineer
880,AWS Docker Prometheus Terraform Pandas,CI/CD,MCA,Advanced,Kubernetes CKA,DevOps Engineer
881,Smart Contracts Chainlink Solidity JavaScript Scrum,Blockchain,BCA,Intermediate,Solidity Developer Certified Blockchain Expert,Blockchain Developer
882,Redux Vue.js ReactJS TypeScript,JavaScript Ecosystem User Experience,Diploma CS,Beginner,Azure Fundamentals,Frontend Developer
883,App Store Dart React Native Xcode Spark,Mobile Development iOS,Diploma CS,Intermediate,AWS CCP Flutter Certified,Mobile App Developer
884,Solidity Web3.js IPFS Python,Decentralization Cryptography,BTech CSE,Intermediate,Hyperledger Web3 Developer,Blockchain Developer
885,Tableau Process Mapping Agile,Process Improvement Enterprise Systems,MSc Data Science,Beginner,ITIL,Business Analyst
886,TypeScript HTML Express.js Next.js,APIs Full Stack Development,MCA,Advanced,Oracle Java Azure Fundamentals,Full Stack Developer
887,CloudFormation Kubernetes CDN Google Cloud,Infrastructure Cloud Computing,MCA,Intermediate,AWS SA,Cloud Engineer
888,InVision Usability Testing Information Architecture Accessibility,Product Design,BSc Computer Science,Advanced,HCI Certificate,UI/UX Designer
889,Express.js Java Node.js Kafka,Microservices,BTech CSE,Intermediate,Spring Professional,Backend Developer
890,NumPy Image Segmentation Keras Detectron2,Robotics,BE AI,Beginner,NVIDIA Deep Learning AWS CCP,Computer Vision Engineer
891,Smart Contracts IPFS NFT Python,Web3 Decentralization,BTech IT,Advanced,Hyperledger Solidity Developer,Blockchain Developer
892,Scrum Agile OKRs Confluence,Business Product Strategy,MSc Data Science,Advanced,AWS CCP,Product Manager
893,Redis Python Java MongoDB,Databases,BTech CSE,Intermediate,Spring Professional MongoDB Associate,Backend Developer
894,HuggingFace LLMs Transformers,AI,BE AI,Beginner,Google Cloud ML,NLP Engineer
895,ETL PostgreSQL Python R Node.js,Reporting,MCA,Intermediate,Power BI Associate IBM Data Analyst,Data Analyst
896,AWS SageMaker PyTorch Feature Engineering NumPy,AI Systems,Diploma CS,Advanced,Google Cloud ML AWS SageMaker,ML Engineer
897,Requirements Gathering Stakeholder Management Business Process Confluence,Process Improvement,BTech IT,Intermediate,PMI-PBA CBAP,Business Analyst
898,Agile Requirements Gathering Tableau,Data Strategy,MCA,Intermediate,Tableau Desktop,Business Analyst
899,CNNs Keras ONNX Image Segmentation,AI Research,MCA,Intermediate,TensorFlow Developer,Computer Vision Engineer
900,PostgreSQL Express.js CSS MongoDB,Web Apps,BCA,Advanced,Meta Full Stack,Full Stack Developer
901,Business Process Power BI JIRA,Business Analysis Data,BTech IT,Advanced,CBAP,Business Analyst
902,Vue.js CSS Jest JavaScript,UI Design,Diploma CS,Beginner,JavaScript Algorithms,Frontend Developer
903,IAM Docker CDN Azure,Cloud Computing DevOps,BE AI,Advanced,Terraform Associate AWS SA,Cloud Engineer
904,Lambda AWS Terraform,Networking,BTech CSE,Intermediate,AWS SA,Cloud Engineer
905,PostgreSQL Kafka MongoDB,Backend Systems Distributed Systems,MCA,Advanced,Oracle Java Azure Fundamentals,Backend Developer
906,Security Kubernetes CloudFormation S3,Scalability Networking,MCA,Intermediate,Azure Fundamentals,Cloud Engineer
907,Prometheus Bash AWS Python,Reliability Engineering Observability,BSc Computer Science,Intermediate,Kubernetes CKA,Site Reliability Engineer
908,Requirements Gathering Excel Stakeholder Management JIRA,Business Analysis,MCA,Intermediate,Scrum Master ITIL,Business Analyst
909,Design Systems Prototyping Canva InVision,User Experience Product Design,BCA,Beginner,Figma Expert,UI/UX Designer
910,Object Detection NumPy CUDA Image Segmentation,Deep Learning,MSc Data Science,Intermediate,AWS CCP,Computer Vision Engineer
911,NLTK Generative AI Sentiment Analysis LLMs,Text Analytics Conversational AI,BTech CSE,Intermediate,Google Cloud ML,NLP Engineer
912,Transformers HuggingFace FastAPI,LLMs,MSc Data Science,Intermediate,TensorFlow Developer Google Cloud Associate,AI Engineer
913,Terraform Grafana Incident Management Chaos Engineering,Automation,MCA,Beginner,Kubernetes CKA,Site Reliability Engineer
914,CUDA Object Detection Python NumPy Python,Image Processing Deep Learning,BE AI,Beginner,TensorFlow Developer,Computer Vision Engineer
915,Prometheus Incident Management Grafana AWS,Cloud Operations,BTech CSE,Intermediate,Kubernetes CKA RedHat RHCSA,Site Reliability Engineer
916,Pandas Scikit-learn NumPy TensorFlow,Model Deployment,BE AI,Advanced,TensorFlow Developer AWS SageMaker,ML Engineer
917,Node.js CSS HTML AWS,Cloud Web Apps,BCA,Beginner,MongoDB Associate Meta Full Stack,Full Stack Developer
918,Game Design Python Unity,3D Design Simulation,BTech CSE,Advanced,Google Play Academy,Game Developer
919,Angular Tailwind CSS ReactJS Vue.js,JavaScript Ecosystem Web Performance,BTech CSE,Advanced,JavaScript Algorithms,Frontend Developer
920,Data Analysis Tableau Visio,Enterprise Systems Process Improvement,BE AI,Intermediate,ITIL PMI-PBA,Business Analyst
921,Pandas NumPy R Jupyter,Analytics Statistics,BE AI,Advanced,TensorFlow Developer Azure Fundamentals,Data Scientist
922,Docker PyTorch MLflow Scikit-learn Nmap,AI Systems Model Deployment,BCA,Beginner,AWS SageMaker,ML Engineer
923,Ethereum Solidity DeFi,Decentralization,BTech CSE,Intermediate,Hyperledger Solidity Developer,Blockchain Developer
924,REST API PostgreSQL GraphQL,Distributed Systems,MCA,Beginner,AWS CCP MongoDB Associate,Backend Developer
925,Kotlin Google Play Push Notifications,iOS,MCA,Advanced,Apple iOS Developer,Mobile App Developer
926,Azure CloudFormation IAM Security,Networking DevOps,BTech CSE,Advanced,Terraform Associate Azure Fundamentals,Cloud Engineer
927,AWS Linux Observability Terraform,Reliability Engineering Observability,MCA,Beginner,Google Cloud SRE Kubernetes CKA,Site Reliability Engineer
928,HuggingFace NER Generative AI PyTorch,AI,Diploma CS,Beginner,HuggingFace Certified,NLP Engineer
929,Google Analytics Excel Databricks PostgreSQL NumPy,Data Analytics,MSc Data Science,Advanced,Power BI Associate AWS CCP,Data Analyst
930,Statistics Excel Databricks Google Analytics,Reporting,BTech IT,Beginner,AWS CCP,Data Analyst
931,System Design Microservices Algorithms REST API ETL,Software Development,BSc Computer Science,Beginner,RedHat RHCSA,Software Engineer
932,CI/CD Grafana Bash Docker,DevOps,BTech IT,Beginner,AWS SA Google Cloud DevOps,DevOps Engineer
933,REST API Firebase SQLite Google Play,Android,BCA,Beginner,Firebase AWS CCP,Mobile App Developer
934,Spark Kafka TensorFlow FastAPI,AI Systems,MSc Data Science,Beginner,TensorFlow Developer,ML Engineer
935,IAM Linux Kubernetes,DevOps,MCA,Intermediate,AWS CCP Azure Fundamentals,Cloud Engineer
